
0;0;0;0;10;0;10
1;0;0;0;8;0;8
2;0;0;0;10;0;10
3;0;0;0;2;0;2
4;0;0;0;19;10;9
5;0;0;0;18;8;10
6;0;0;0;20;10;10
7;0;0;0;14;10;4

0;0;0;1;10;0;10
1;0;0;1;0;0;0
2;0;0;1;9;0;9
3;0;0;1;0;0;0
4;0;0;1;6;6;0
5;0;0;1;10;10;0
6;0;0;1;10;9;1
7;0;0;1;10;10;0

0;10;0;0;10;0;10
1;10;0;0;10;0;10
2;10;0;0;10;0;10
3;10;0;0;10;0;10
4;10;0;0;20;10;10
5;10;0;0;20;10;10
6;10;0;0;20;10;10
7;10;0;0;20;10;10

0;10;0;1;10;0;10
1;10;0;1;9;0;9
2;10;0;1;8;0;8
3;10;0;1;6;0;6
4;10;0;1;20;10;10
5;10;0;1;16;10;6
6;10;0;1;19;9;10
7;10;0;1;17;10;7

0;12;0;0;8;0;8
1;12;0;0;10;0;10
2;12;0;0;10;0;10
3;12;0;0;10;0;10
4;12;0;0;19;9;10
5;12;0;0;20;10;10
6;12;0;0;20;10;10
7;12;0;0;20;10;10

0;12;0;1;10;0;10
1;12;0;1;2;0;2
2;12;0;1;4;0;4
3;12;0;1;4;0;4
4;12;0;1;13;10;3
5;12;0;1;9;9;0
6;12;0;1;2;2;0
7;12;0;1;15;10;5

0;14;0;0;8;0;8
1;14;0;0;10;0;10
2;14;0;0;10;0;10
3;14;0;0;10;0;10
4;14;0;0;12;2;10
5;14;0;0;20;10;10
6;14;0;0;20;10;10
7;14;0;0;13;3;10

0;14;0;1;9;0;9
1;14;0;1;0;0;0
2;14;0;1;4;0;4
3;14;0;1;0;0;0
4;14;0;1;9;9;0
5;14;0;1;9;8;1
6;14;0;1;11;2;9
7;14;0;1;10;10;0

0;2;0;0;10;0;10
1;2;0;0;9;0;9
2;2;0;0;10;0;10
3;2;0;0;10;0;10
4;2;0;0;19;9;10
5;2;0;0;20;10;10
6;2;0;0;18;10;8
7;2;0;0;19;10;9

0;2;0;1;10;0;10
1;2;0;1;0;0;0
2;2;0;1;0;0;0
3;2;0;1;0;0;0
4;2;0;1;12;10;2
5;2;0;1;0;0;0
6;2;0;1;2;0;2
7;2;0;1;10;10;0

0;4;0;0;10;0;10
1;4;0;0;10;0;10
2;4;0;0;10;0;10
3;4;0;0;10;0;10
4;4;0;0;19;9;10
5;4;0;0;20;10;10
6;4;0;0;20;10;10
7;4;0;0;20;10;10

0;4;0;1;10;0;10
1;4;0;1;4;0;4
2;4;0;1;8;0;8
3;4;0;1;10;0;10
4;4;0;1;19;9;10
5;4;0;1;11;10;1
6;4;0;1;7;6;1
7;4;0;1;18;9;9

0;6;0;0;10;0;10
1;6;0;0;10;0;10
2;6;0;0;10;0;10
3;6;0;0;10;0;10
4;6;0;0;20;10;10
5;6;0;0;20;10;10
6;6;0;0;20;10;10
7;6;0;0;20;10;10

0;6;0;1;10;0;10
1;6;0;1;2;0;2
2;6;0;1;10;0;10
3;6;0;1;10;0;10
4;6;0;1;19;10;9
5;6;0;1;15;10;5
6;6;0;1;19;10;9
7;6;0;1;19;10;9

0;8;0;0;10;0;10
1;8;0;0;10;0;10
2;8;0;0;10;0;10
3;8;0;0;3;0;3
